tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,scraped_at
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult,dragapult-ex,dragapult,188,13.75,751,634,248,51.05,0.0,0.0,0.0,188,13.7527,635,526,222,51.2654,50,19.6078,116,108,26,49.8667,0.266,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Blaziken,dragapult-blaziken,"dragapult, blaziken",143,10.46,494,477,203,47.84,0.0,0.0,0.0,143,10.4609,444,431,187,47.6773,22,8.6275,50,46,16,49.4048,0.1538,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Cynthia's Garchomp,cynthia-garchomp-ex,garchomp,86,6.29,309,307,85,48.12,0.0,0.0,0.0,86,6.2911,277,262,79,49.0831,16,6.2745,32,45,6,40.9639,0.186,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Alakazam Dudunsparce,alakazam-dudunsparce,"alakazam, dudunsparce",83,6.07,272,289,98,46.23,0.0,0.0,0.0,83,6.0717,255,270,93,46.2783,8,3.1373,17,19,5,45.5285,0.0964,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Rocket's Mewtwo,rocket-mewtwo-ex,"mewtwo, spidops",82,6.0,332,289,106,50.53,0.0,0.0,0.0,82,5.9985,291,238,98,51.6215,20,7.8431,41,51,8,43.6667,0.2439,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,N's Zoroark,n-zoroark,zoroark,79,5.78,222,270,91,43.28,0.0,0.0,0.0,79,5.7791,201,247,87,42.9907,10,3.9216,21,23,4,46.5278,0.1266,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Lucario Hariyama,lucario-hariyama,"lucario-mega, hariyama",76,5.56,231,301,59,42.41,0.0,0.0,0.0,76,5.5596,214,280,57,42.2868,8,3.1373,17,21,2,44.1667,0.1053,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",71,5.19,244,287,69,44.5,0.0,0.0,0.0,71,5.1939,220,246,63,45.5577,14,5.4902,24,41,6,36.6197,0.1972,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ogerpon Meganium,ogerpon-meganium,"ogerpon, meganium",66,4.83,256,234,76,49.71,0.0,0.0,0.0,66,4.8281,223,194,68,50.6529,16,6.2745,33,40,8,44.0329,0.2424,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",55,4.02,192,190,50,48.3,0.0,0.0,0.0,55,4.0234,177,178,45,48.0,6,2.3529,15,12,5,52.0833,0.1091,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Festival Lead,festival-lead,"dipplin, thwackey",46,3.37,229,169,43,55.18,0.0,0.0,0.0,46,3.365,186,127,33,56.9364,19,7.451,43,42,10,48.7719,0.413,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Crustle,crustle-dri,crustle,43,3.15,226,127,65,59.25,0.0,0.0,0.0,43,3.1456,170,95,46,59.5927,20,7.8431,56,32,19,58.2555,0.4651,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Rocket's Honchkrow,rockets-honchkrow,"honchkrow, porygon2",32,2.34,106,104,49,47.23,0.0,0.0,0.0,32,2.3409,97,97,45,46.8619,4,1.5686,9,7,4,51.6667,0.125,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ogerpon Box,ogerpon-box,"ogerpon, ogerpon-wellspring",29,2.12,95,100,30,46.67,0.0,0.0,0.0,29,2.1214,82,91,27,45.5,5,1.9608,13,9,3,56.0,0.1724,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Okidogi Barbaracle,okidogi-barbaracle,"okidogi, barbaracle",28,2.05,96,105,34,45.67,0.0,0.0,0.0,28,2.0483,85,87,33,46.8293,6,2.3529,11,18,1,37.7778,0.2143,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Grimmsnarl Froslass,grimmsnarl-froslass,"grimmsnarl, froslass",24,1.76,74,85,28,44.56,0.0,0.0,0.0,24,1.7557,65,79,27,43.2749,3,1.1765,9,6,1,58.3333,0.125,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Lucario,mega-lucario-ex,lucario-mega,20,1.46,65,81,15,43.48,0.0,0.0,0.0,20,1.4631,61,75,15,43.7086,2,0.7843,4,6,0,40.0,0.1,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Greninja,greninja-ex,greninja,19,1.39,54,82,9,39.31,0.0,0.0,0.0,19,1.3899,53,78,9,40.0,1,0.3922,1,4,0,20.0,0.0526,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Starmie Froslass,starmie-froslass,"starmie-mega, froslass",19,1.39,63,64,20,47.39,0.0,0.0,0.0,19,1.3899,55,62,20,45.0122,2,0.7843,8,2,0,80.0,0.1053,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Clefairy Ogerpon,clefairy-ogerpon,"clefairy, ogerpon",18,1.32,54,74,10,41.55,0.0,0.0,0.0,18,1.3168,48,70,10,40.1042,2,0.7843,6,4,0,60.0,0.1111,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Dudunsparce,dragapult-dudunsparce,"dragapult, dudunsparce",15,1.1,85,45,21,60.93,0.0,0.0,0.0,15,1.0973,59,36,17,57.7381,7,2.7451,26,9,4,70.0855,0.4667,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Venusaur,mega-venusaur-ex,venusaur-mega,12,0.88,24,47,9,33.75,0.0,0.0,0.0,12,0.8778,24,47,9,33.75,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Other,other,substitute,12,0.88,29,44,11,38.89,0.0,0.0,0.0,12,0.8778,29,44,11,38.8889,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Tera Box,tera-box,"noctowl, ogerpon-wellspring",10,0.73,42,38,10,50.37,0.0,0.0,0.0,10,0.7315,36,29,10,52.4444,3,1.1765,6,9,0,40.0,0.3,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Flareon Noctowl,flareon-noctowl,"flareon, noctowl",8,0.59,15,30,3,33.33,0.0,0.0,0.0,8,0.5852,15,30,3,33.3333,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Slowking,slowking-scr,slowking,8,0.59,25,32,4,43.17,0.0,0.0,0.0,8,0.5852,24,28,4,45.2381,1,0.3922,1,4,0,20.0,0.125,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Steven's Metagross,stevens-metagross,metagross,8,0.59,12,34,3,26.53,0.0,0.0,0.0,8,0.5852,12,34,3,26.5306,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Rocket's Spidops,rocket-spidops,spidops,7,0.51,23,24,9,46.43,0.0,0.0,0.0,7,0.5121,21,21,9,47.0588,1,0.3922,2,3,0,40.0,0.1429,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Diancie Dusknoir,diancie-dusknoir,"diancie-mega, dusknoir",6,0.44,17,21,1,44.44,0.0,0.0,0.0,6,0.4389,17,21,1,44.4444,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Absol Box,mega-absol-box,"absol-mega, kangaskhan-mega",6,0.44,27,19,9,54.55,0.0,0.0,0.0,6,0.4389,25,16,4,58.5185,2,0.7843,2,3,5,36.6667,0.3333,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Archaludon,archaludon-ex,archaludon,5,0.37,16,17,4,46.85,0.0,0.0,0.0,5,0.3658,13,15,4,44.7917,1,0.3922,3,2,0,60.0,0.2,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Starmie Dusknoir,starmie-dusknoir,"starmie-mega, dusknoir",5,0.37,18,11,9,55.26,0.0,0.0,0.0,5,0.3658,11,10,9,46.6667,1,0.3922,7,1,0,87.5,0.2,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Archaludon Zoroark,archaludon-zoroark,"archaludon, zoroark",4,0.29,12,16,1,42.53,0.0,0.0,0.0,4,0.2926,12,16,1,42.5287,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ceruledge,ceruledge-ex,ceruledge,4,0.29,4,14,4,24.24,0.0,0.0,0.0,4,0.2926,4,14,4,24.2424,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ethan's Typhlosion,ethan-typhlosion,typhlosion,4,0.29,9,16,4,35.63,0.0,0.0,0.0,4,0.2926,6,14,4,30.5556,1,0.3922,3,2,0,60.0,0.25,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Toxtricity Box,toxtricity-box,"toxtricity, absol-mega",4,0.29,14,11,7,51.04,0.0,0.0,0.0,4,0.2926,14,11,7,51.0417,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ursaluna Lunatone,ursaluna-lunatone,"ursaluna-bloodmoon, lunatone",4,0.29,7,14,7,33.33,0.0,0.0,0.0,4,0.2926,7,14,7,33.3333,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Froslass Munkidori,froslass-munkidori,"froslass, munkidori",3,0.22,10,12,4,43.59,0.0,0.0,0.0,3,0.2195,10,9,2,50.7937,1,0.3922,0,3,2,13.3333,0.3333,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Hydrapple Ogerpon,hydrapple-ogerpon,"hydrapple, ogerpon",3,0.22,15,12,2,54.02,0.0,0.0,0.0,3,0.2195,14,9,1,59.7222,1,0.3922,1,3,1,26.6667,0.3333,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Jellicent Dusknoir,jellicent-dusknoir,"jellicent, dusknoir",3,0.22,6,11,2,35.09,0.0,0.0,0.0,3,0.2195,6,11,2,35.0877,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Lopunny Dudunsparce,lopunny-dudunsparce,"lopunny-mega, dudunsparce",3,0.22,14,9,3,57.69,0.0,0.0,0.0,3,0.2195,10,8,3,52.381,1,0.3922,4,1,0,80.0,0.3333,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Sharpedo Toxtricity,sharpedo-toxtricity,"sharpedo-mega, toxtricity",3,0.22,10,13,1,43.06,0.0,0.0,0.0,3,0.2195,10,13,1,43.0556,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Decidueye,decidueye-ex,decidueye,2,0.15,6,6,3,46.67,0.0,0.0,0.0,2,0.1463,6,6,3,46.6667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Feraligatr,feraligatr-tef,feraligatr,2,0.15,5,8,3,37.5,0.0,0.0,0.0,2,0.1463,5,8,3,37.5,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Hop's Zacian,hop-zacian,"zacian-crowned, snorlax",2,0.15,3,8,1,27.78,0.0,0.0,0.0,2,0.1463,3,8,1,27.7778,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Charizard X,mega-charizard-x-ex,charizard-mega-x,2,0.15,1,9,2,13.89,0.0,0.0,0.0,2,0.1463,1,9,2,13.8889,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Froslass,mega-froslass-ex,froslass-mega,2,0.15,3,7,2,30.56,0.0,0.0,0.0,2,0.1463,3,7,2,30.5556,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Terapagos Noctowl,terapagos-noctowl,"terapagos, noctowl",2,0.15,1,7,1,14.81,0.0,0.0,0.0,2,0.1463,1,7,1,14.8148,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Froslass,dragapult-froslass,"dragapult, froslass",1,0.07,4,4,0,50.0,0.0,0.0,0.0,1,0.0732,4,4,0,50.0,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Eelektrik,eelektrik-blk,eelektrik,1,0.07,2,5,1,29.17,0.0,0.0,0.0,1,0.0732,2,5,1,29.1667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ethan's Magcargo,ethan-magcargo,"magcargo, ho-oh",1,0.07,1,4,3,25.0,0.0,0.0,0.0,1,0.0732,1,4,3,25.0,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Farigiraf Milotic,farigiraf-milotic,"farigiraf, milotic",1,0.07,1,6,1,16.67,0.0,0.0,0.0,1,0.0732,1,6,1,16.6667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Hop's Trevenant,hops-trevenant,trevenant,1,0.07,8,2,3,69.23,0.0,0.0,0.0,1,0.0732,6,1,1,79.1667,1,0.3922,2,1,2,53.3333,1.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Hydreigon,hydreigon-ex,hydreigon,1,0.07,3,4,1,41.67,0.0,0.0,0.0,1,0.0732,3,4,1,41.6667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Joltik Box,joltik-box,"joltik, pikachu",1,0.07,2,3,3,37.5,0.0,0.0,0.0,1,0.0732,2,3,3,37.5,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Marnie's Grimmsnarl,marnie-grimmsnarl-ex,grimmsnarl,1,0.07,1,3,1,26.67,0.0,0.0,0.0,1,0.0732,1,3,1,26.6667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Diancie,mega-diancie-ex,diancie-mega,1,0.07,2,4,0,33.33,0.0,0.0,0.0,1,0.0732,2,4,0,33.3333,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Mega Sharpedo,mega-sharpedo-ex,sharpedo-mega,1,0.07,1,7,0,12.5,0.0,0.0,0.0,1,0.0732,1,7,0,12.5,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Zoroark Crustle,zoroark-crustle,"zoroark, crustle",1,0.07,1,3,1,26.67,0.0,0.0,0.0,1,0.0732,1,3,1,26.6667,0,0.0,0,0,0,0.0,0.0,2026-05-01 23:26:04
